OTU ID	taxonomy	taxid	AH	CP	EP	TB
141625	sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales	356	3.0	3.0	2.0	3.0
141708	sk__Bacteria;k__;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Methylophilaceae;g__Methylotenera	359407	0.0	1.0	0.0	0.0
142239	sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas	41275	2.0	1.0	0.0	0.0
142585	sk__Bacteria;k__;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas	13687	6.0	0.0	0.0	1.0
142749	sk__Bacteria;k__;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales	200644	0.0	3.0	1.0	0.0
142899	sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter	469	2.0	0.0	1.0	3.0
143217	sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Bacillales	1385	0.0	0.0	1.0	6.0
143317	sk__Eukaryota;k__Fungi;p__Basidiomycota;c__Agaricomycetes	155619	2.0	0.0	0.0	0.0
143852	sk__Bacteria;k__;p__Acidobacteria	57723	6.0	3.0	1.0	7.0
144277	sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae	135621	1.0	0.0	0.0	0.0
146093	sk__Bacteria;k__;p__Balneolaeota	1936987	0.0	0.0	0.0	1.0
146170	sk__Bacteria;k__;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Parapedobacter	416949	2.0	0.0	0.0	0.0
146323	sk__Bacteria;k__;p__Elusimicrobia;c__;o__;f__;g__;s__Elusimicrobia_bacterium_RIFOXYB12_FULL_50_12	1797965	0.0	2.0	0.0	0.0
146708	sk__Bacteria;k__;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Crenotrichaceae	89377	0.0	0.0	0.0	1.0
